Description;Description2;Data.Carbohydrate;Data.Cholesterol;Data.Kilocalories;Data.Protein;Data.Household Weights.1st Household Weight Description
BUTTER,WITH SALT;BUTTER,WITH SALT 1 cup;6;215;717;85;1 cup
BUTTER,WHIPPED,WITH SALT;BUTTER,WHIPPED,WITH SALT 1 cup;6;219;717;85;1 cup
BUTTER OIL,ANHYDROUS;BUTTER OIL,ANHYDROUS 1 cup;0;256;876;28;1 cup
CHEESE,BLUE;CHEESE,BLUE 1 oz;234;75;353;214;1 oz
CHEESE,BRICK;CHEESE,BRICK 1 cup, diced;279;94;371;2324;1 cup, diced
CHEESE,BRIE;CHEESE,BRIE 1 cup, melted;45;100;334;2075;1 cup, melted
CHEESE,CAMEMBERT;CHEESE,CAMEMBERT 1 cup;46;72;300;198;1 cup
CHEESE,CARAWAY;CHEESE,CARAWAY 1 oz;306;93;376;2518;1 oz
CHEESE,CHEDDAR;CHEESE,CHEDDAR 1 cup, diced;128;105;403;249;1 cup, diced
CHEESE,CHESHIRE;CHEESE,CHESHIRE 1 oz;478;103;387;2337;1 oz
CHEESE,COLBY;CHEESE,COLBY 1 cup, diced;257;95;394;2376;1 cup, diced
CHEESE,COTTAGE,CRMD,LRG OR SML CURD;CHEESE,COTTAGE,CRMD,LRG OR SML CURD 4 oz;338;17;98;1112;4 oz
CHEESE,COTTAGE,CRMD,W/FRUIT;CHEESE,COTTAGE,CRMD,W/FRUIT 1 cup,  (not packed);461;13;97;1069;1 cup,  (not packed)
CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD;CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD 1 cup,  (not packed);666;7;72;1034;1 cup,  (not packed)
CHEESE,COTTAGE,LOWFAT,2% MILKFAT;CHEESE,COTTAGE,LOWFAT,2% MILKFAT 1 cup,  (not packed);366;10;86;1183;1 cup,  (not packed)
CHEESE,COTTAGE,LOWFAT,1% MILKFAT;CHEESE,COTTAGE,LOWFAT,1% MILKFAT 1 cup,  (not packed);272;4;72;1239;1 cup,  (not packed)
CHEESE,CREAM;CHEESE,CREAM 1 cup;407;110;342;593;1 cup
CHEESE,EDAM;CHEESE,EDAM 1 oz;143;89;357;2499;1 oz
CHEESE,FETA;CHEESE,FETA 1 cup, crumbled;409;89;264;1421;1 cup, crumbled
CHEESE,FONTINA;CHEESE,FONTINA 1 cup, diced;155;116;389;256;1 cup, diced
CHEESE,GJETOST;CHEESE,GJETOST 1 oz;4265;94;466;965;1 oz
CHEESE,GOUDA;CHEESE,GOUDA 1 oz;222;114;356;2494;1 oz
CHEESE,GRUYERE;CHEESE,GRUYERE 1 cup, diced;36;110;413;2981;1 cup, diced
CHEESE,LIMBURGER;CHEESE,LIMBURGER 1 cup;49;90;327;2005;1 cup
CHEESE,MONTEREY;CHEESE,MONTEREY 1 cup, diced;68;89;373;2448;1 cup, diced
CHEESE,MOZZARELLA,WHL MILK;CHEESE,MOZZARELLA,WHL MILK 1 cup, shredded;219;79;300;2217;1 cup, shredded
CHEESE,MOZZARELLA,WHL MILK,LO MOIST;CHEESE,MOZZARELLA,WHL MILK,LO MOIST 1 oz;247;89;318;216;1 oz
CHEESE,MOZZARELLA,PART SKIM MILK;CHEESE,MOZZARELLA,PART SKIM MILK 1 oz;277;64;254;2426;1 oz
CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST;CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST 1 cup, diced;383;54;302;2596;1 cup, diced
CHEESE,MUENSTER;CHEESE,MUENSTER 1 cup, diced;112;96;368;2341;1 cup, diced
CHEESE,NEUFCHATEL;CHEESE,NEUFCHATEL 1 oz;359;74;253;915;1 oz
CHEESE,PARMESAN,GRATED;CHEESE,PARMESAN,GRATED 1 cup;406;88;431;3846;1 cup
CHEESE,PARMESAN,HARD;CHEESE,PARMESAN,HARD 1 oz;322;68;392;3575;1 oz
CHEESE,PORT DE SALUT;CHEESE,PORT DE SALUT 1 cup, diced;57;123;352;2378;1 cup, diced
CHEESE,PROVOLONE;CHEESE,PROVOLONE 1 cup, diced;214;69;351;2558;1 cup, diced
CHEESE,RICOTTA,WHOLE MILK;CHEESE,RICOTTA,WHOLE MILK 1 cup;304;51;174;1126;1 cup
CHEESE,RICOTTA,PART SKIM MILK;CHEESE,RICOTTA,PART SKIM MILK 1 cup;514;31;138;1139;1 cup
CHEESE,ROMANO;CHEESE,ROMANO 1 oz;363;104;387;318;1 oz
CHEESE,ROQUEFORT;CHEESE,ROQUEFORT 1 oz;20;90;369;2154;1 oz
CHEESE,SWISS;CHEESE,SWISS 1 cup, diced;538;92;380;2693;1 cup, diced
CHEESE,TILSIT;CHEESE,TILSIT 1 oz;188;102;340;2441;1 oz
CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4;CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4 1 cup, diced;16;94;375;2215;1 cup, diced
CHEESE,PAST PROCESS,PIMENTO;CHEESE,PAST PROCESS,PIMENTO 1 cup, diced;173;94;375;2213;1 cup, diced
CHEESE,PAST PROCESS,SWISS,W/DI NA PO4;CHEESE,PAST PROCESS,SWISS,W/DI NA PO4 1 cup, diced;21;85;334;2473;1 cup, diced
CHEESE FD,COLD PK,AMERICAN;CHEESE FD,COLD PK,AMERICAN 1 oz;832;64;331;1966;1 oz
CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4;CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4 1 cup;783;80;330;184;1 cup
CHEESE FD,PAST PROCESS,SWISS;CHEESE FD,PAST PROCESS,SWISS 1 oz;45;82;323;2192;1 oz
CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4;CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4 1 cup, diced;873;55;290;1641;1 cup, diced
CREAM,FLUID,HALF AND HALF;CREAM,FLUID,HALF AND HALF 1 cup;43;37;130;296;1 cup
CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM);CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM) 1 cup;366;66;195;27;1 cup
CREAM,FLUID,LT WHIPPING;CREAM,FLUID,LT WHIPPING 1 cup,  whipped;296;111;292;217;1 cup,  whipped
CREAM,FLUID,HVY WHIPPING;CREAM,FLUID,HVY WHIPPING 1 cup,  whipped;279;137;345;205;1 cup,  whipped
CREAM,WHIPPED,CRM TOPPING,PRESSURIZED;CREAM,WHIPPED,CRM TOPPING,PRESSURIZED 1 cup;1249;76;257;32;1 cup
CREAM,SOUR,RED FAT,CULTURED;CREAM,SOUR,RED FAT,CULTURED 1 cup;426;39;135;294;1 cup
CREAM,SOUR,CULTURED;CREAM,SOUR,CULTURED 1 cup;288;52;193;207;1 cup
EGGNOG;EGGNOG 1 cup;1354;59;135;381;1 cup
SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE;SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE 1 cup;468;5;178;325;1 cup
MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS;MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS 1 cup;474;2;63;333;1 cup
MILK,FILLED,FLUID,W/LAURIC ACID OIL;MILK,FILLED,FLUID,W/LAURIC ACID OIL 1 cup;474;2;63;333;1 cup
CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT;CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT 1 cup;1138;0;136;10;1 cup
CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE;CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE 1 container,  individual;1138;0;136;10;1 container,  individual
CREAM SUBSTITUTE,POWDERED;CREAM SUBSTITUTE,POWDERED 1 cup;5488;0;545;479;1 cup
DESSERT TOPPING,POWDERED;DESSERT TOPPING,POWDERED 1.5 oz;5254;0;577;49;1.5 oz
DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK;DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK 1 cup;1653;10;188;36;1 cup
DESSERT TOPPING,PRESSURIZED;DESSERT TOPPING,PRESSURIZED 1 cup;1607;0;264;98;1 cup
DESSERT TOPPING,SEMI SOLID,FRZ;DESSERT TOPPING,SEMI SOLID,FRZ 1 cup;2305;0;318;125;1 cup
SOUR CRM,IMITN,CULTURED;SOUR CRM,IMITN,CULTURED 1 cup;663;0;208;24;1 cup
MILK SUBSTITUTES,FLUID W/HYDR VEG OILS;MILK SUBSTITUTES,FLUID W/HYDR VEG OILS 1 cup;616;0;61;175;1 cup
MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL;MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL 1 cup;616;0;61;175;1 cup
MILK,WHL,3.25% MILKFAT;MILK,WHL,3.25% MILKFAT 1 cup;452;10;60;322;1 cup
MILK,PRODUCER,FLUID,3.7% MILKFAT;MILK,PRODUCER,FLUID,3.7% MILKFAT 1 cup;465;14;64;328;1 cup
MILK,RED FAT,FLUID,2%MILKFAT,W/ADDED VIT A;MILK,RED FAT,FLUID,2%MILKFAT,W/ADDED VIT A 1 cup;468;8;50;33;1 cup
MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A;MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A 1 cup;497;8;51;348;1 cup
MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A;MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A 1 cup;549;8;56;395;1 cup
MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A;MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A 1 cup;499;5;42;337;1 cup
MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A;MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A 1 cup;497;4;43;348;1 cup
MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A;MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A 1 cup;552;4;48;393;1 cup
MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM);MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM) 1 cup;496;2;34;337;1 cup
MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM);MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM) 1 cup;502;2;37;357;1 cup
MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM);MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM) 1 cup;556;2;41;396;1 cup
MILK,BTTRMLK,FLUID,CULTURED,LOWFAT;MILK,BTTRMLK,FLUID,CULTURED,LOWFAT 1 cup;479;4;40;331;1 cup
MILK,LOW SODIUM,FLUID;MILK,LOW SODIUM,FLUID 1 cup;446;14;61;31;1 cup
MILK,DRY,WHOLE;MILK,DRY,WHOLE 1 cup;3842;97;496;2632;1 cup
MILK,DRY,NONFAT,REG,WO/ VIT A;MILK,DRY,NONFAT,REG,WO/ VIT A 1 cup;5198;20;362;3616;1 cup
MILK,DRY,NONFAT,INST,W/ VIT A;MILK,DRY,NONFAT,INST,W/ VIT A 1 cup;5219;18;358;351;1 cup
MILK,DRY,NONFAT,CA RED;MILK,DRY,NONFAT,CA RED 1 oz;518;2;354;355;1 oz
MILK,BUTTERMILK,DRIED;MILK,BUTTERMILK,DRIED 1 cup;490;69;387;343;1 cup
MILK,CND,COND,SWTND;MILK,CND,COND,SWTND 1 cup;544;34;321;791;1 cup
MILK,CND,EVAP,WO/ VIT A;MILK,CND,EVAP,WO/ VIT A 1 cup;1004;29;134;681;1 cup
MILK,CND,EVAP,NONFAT;MILK,CND,EVAP,NONFAT 1 cup;1135;4;78;755;1 cup
MILK,CHOC,FLUID,COMM,;MILK,CHOC,FLUID,COMM, 1 cup;1034;12;83;317;1 cup
MILK,CHOC,FLUID,COMM,RED FAT;MILK,CHOC,FLUID,COMM,RED FAT 1 cup;1213;8;76;299;1 cup
MILK,CHOC,FLUID,COMM,LOWFAT;MILK,CHOC,FLUID,COMM,LOWFAT 1 cup;1044;3;63;324;1 cup
MILK,CHOC BEV,HOT COCOA,HOMEMADE;MILK,CHOC BEV,HOT COCOA,HOMEMADE 1 cup;1063;8;77;352;1 cup
