Descrição,Quilocalorias,Carbohidratos,Proteínas,Data.Fat.Total Lipid,Peso (g)
ABALONE.MIXED SPECIES.RAW,105,06.01,17.1,0.76,85
ABALONE.MXD SP.CKD.FRIED,189,11.05,19.63,6.78,85
ABIYUCH.RAW,69,17.6,1.5,0.1,114
ACEROLA JUICE.RAW,23,4.8,0.4,0.3,242
ACEROLA.(WEST INDIAN CHERRY).RAW,32,7.69,0.4,0.3,98
ACORN FLOUR.FULL FAT,501,54.65,7.49,30.17,28.35
ACORNS.DRIED,509,53.66,8.1,31.41,28.35
ACORNS.RAW,387,40.75,6.15,23.86,28.35
ADOBO FRESCO,271,18.6,2,20.9,288
ALCOHOLIC BEV.BEER.LT,29,1.64,0.24,0,29.5
ALCOHOLIC BEV.BEER.LT.BUD LT,31,1.86,0.25,0,29.49
ALCOHOLIC BEV.BEER.LT.BUDWEISER SEL,28,0.87,0.2,0,29.54
ALCOHOLIC BEV.BEER.LT.MICHELOB ULTRA,27,0.73,0.17,0,29.51
ALCOHOLIC BEV.BEER.REG.ALL,43,3.55,0.46,0,356
ALCOHOLIC BEV.BEER.REG.BUDWEISER,41,2.97,0.36,0,29.78
ALCOHOLIC BEV.CREME DE MENTHE.72 PROOF,371,41.6,0,0.3,33.6
ALCOHOLIC BEV.DAIQUIRI.CND,125,15.7,0,0,30.5
ALCOHOLIC BEV.DAIQUIRI.PREPARED-FROM-RECIPE,186,6.94,0.06,0.06,30.2
ALCOHOLIC BEV.DISTILLED.ALL (GIN.RUM.VODKA.WHISKEY) 80 PROOF,231,0,0,0,27.8
ALCOHOLIC BEV.DISTILLED.ALL (GIN.RUM.VODKA.WHISKEY) 86 PROOF,250,0.1,0,0,27.8
ALCOHOLIC BEV.DISTILLED.ALL (GIN.RUM.VODKA.WHISKEY) 90 PROOF,263,0,0,0,27.8
ALCOHOLIC BEV.DISTILLED.ALL (GIN.RUM.VODKA.WHISKEY) 94 PROOF,275,0,0,0,27.8
ALCOHOLIC BEV.DISTILLED.ALL 100 PROOF,295,0,0,0,27.8
ALCOHOLIC BEV.DISTILLED.GIN.90 PROOF,263,0,0,0,27.8
ALCOHOLIC BEV.DISTILLED.RUM.80 PROOF,231,0,0,0,27.8
ALCOHOLIC BEV.DISTILLED.VODKA.80 PROOF,231,0,0,0,27.8
ALCOHOLIC BEV.DISTILLED.WHISKEY.86 PROOF,250,0.1,0,0,27.8
ALCOHOLIC BEV.LIQUEUR.COFFEE W/CRM.34 PROOF,327,20.9,2.8,15.7,31.1
ALCOHOLIC BEV.LIQUEUR.COFFEE.53 PROOF,326,46.8,0.1,0.3,34.8
ALCOHOLIC BEV.LIQUEUR.COFFEE.63 PROOF,308,32.2,0.1,0.3,34.8
ALCOHOLIC BEV.PINA COLADA.CND,237,27.6,0.6,7.6,32.6
ALCOHOLIC BEV.PINA COLADA.PREPARED-FROM-RECIPE,174,22.66,0.42,1.88,31.4
ALCOHOLIC BEV.RICE (SAKE),134,5,0.5,0,29.1
ALCOHOLIC BEV.TEQUILA SUNRISE.CND,110,11.3,0.3,0.1,31.1
ALCOHOLIC BEV.WHISKEY SOUR.CND,119,13.4,0,0,30.8
ALCOHOLIC BEV.WHISKEY SOUR.PREP FROM ITEM 14028,153,12.82,0.06,0.06,30.4
ALCOHOLIC BEV.WHISKEY SOUR.PREP FROM ITEM 14530,149,13.1,0,0,30.4
ALCOHOLIC BEV.WHISKEY SOUR.PREP W/ H2O.WHISKEY & PDR MIX,164,15.85,0.1,0.02,29.4
ALCOHOLIC BEV.WINE.COOKING,50,6.3,0.5,0,4.9
ALCOHOLIC BEV.WINE.DSSRT.DRY,152,11.67,0.2,0,29.5
ALCOHOLIC BEV.WINE.DSSRT.SWT,160,13.69,0.2,0,29.5
