Name;Min;Max;Calories;Gram_Prot;Gram_Fat;Gram_Carb
BUTTER,WITH SALT 1 cup;0;7;717;85;8111;6
BUTTER,WHIPPED,WITH SALT 1 cup;0;15;717;85;8111;6
BUTTER OIL,ANHYDROUS 1 cup;0;19;876;28;9948;0
CHEESE,BLUE 1 oz;0;2;353;214;2874;234
CHEESE,BRICK 1 cup, diced;0;13;371;2324;2968;279
CHEESE,BRIE 1 cup, melted;0;14;334;2075;2768;45
CHEESE,CAMEMBERT 1 cup;0;8;300;198;2426;46
CHEESE,CARAWAY 1 oz;0;4;376;2518;292;306
CHEESE,CHEDDAR 1 cup, diced;0;15;403;249;3314;128
CHEESE,CHESHIRE 1 oz;0;19;387;2337;306;478
CHEESE,COLBY 1 cup, diced;0;2;394;2376;3211;257
CHEESE,COTTAGE,CRMD,LRG OR SML CURD 4 oz;0;12;98;1112;43;338
CHEESE,COTTAGE,CRMD,W/FRUIT 1 cup,  (not packed);0;16;97;1069;385;461
CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD 1 cup,  (not packed);0;10;72;1034;29;666
CHEESE,COTTAGE,LOWFAT,2% MILKFAT 1 cup,  (not packed);0;12;86;1183;245;366
CHEESE,COTTAGE,LOWFAT,1% MILKFAT 1 cup,  (not packed);0;1;72;1239;102;272
CHEESE,CREAM 1 cup;0;9;342;593;3424;407
CHEESE,EDAM 1 oz;0;13;357;2499;278;143
CHEESE,FETA 1 cup, crumbled;0;0;264;1421;2128;409
CHEESE,FONTINA 1 cup, diced;0;18;389;256;3114;155
CHEESE,GJETOST 1 oz;0;16;466;965;2951;4265
CHEESE,GOUDA 1 oz;0;3;356;2494;2744;222
CHEESE,GRUYERE 1 cup, diced;0;2;413;2981;3234;36
CHEESE,LIMBURGER 1 cup;0;2;327;2005;2725;49
CHEESE,MONTEREY 1 cup, diced;0;12;373;2448;3028;68
CHEESE,MOZZARELLA,WHL MILK 1 cup, shredded;0;16;300;2217;2235;219
CHEESE,MOZZARELLA,WHL MILK,LO MOIST 1 oz;0;0;318;216;2464;247
CHEESE,MOZZARELLA,PART SKIM MILK 1 oz;0;6;254;2426;1592;277
CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST 1 cup, diced;0;14;302;2596;2003;383
CHEESE,MUENSTER 1 cup, diced;0;10;368;2341;3004;112
CHEESE,NEUFCHATEL 1 oz;0;16;253;915;2278;359
CHEESE,PARMESAN,GRATED 1 cup;0;0;431;3846;2861;406
CHEESE,PARMESAN,HARD 1 oz;0;1;392;3575;2583;322
CHEESE,PORT DE SALUT 1 cup, diced;0;9;352;2378;282;57
CHEESE,PROVOLONE 1 cup, diced;0;13;351;2558;2662;214
CHEESE,RICOTTA,WHOLE MILK 1 cup;0;10;174;1126;1298;304
CHEESE,RICOTTA,PART SKIM MILK 1 cup;0;15;138;1139;791;514
CHEESE,ROMANO 1 oz;0;15;387;318;2694;363
CHEESE,ROQUEFORT 1 oz;0;17;369;2154;3064;20
CHEESE,SWISS 1 cup, diced;0;3;380;2693;278;538
CHEESE,TILSIT 1 oz;0;0;340;2441;2598;188
CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4 1 cup, diced;0;11;375;2215;3125;16
CHEESE,PAST PROCESS,PIMENTO 1 cup, diced;0;8;375;2213;312;173
CHEESE,PAST PROCESS,SWISS,W/DI NA PO4 1 cup, diced;0;11;334;2473;2501;21
CHEESE FD,COLD PK,AMERICAN 1 oz;0;2;331;1966;2446;832
CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4 1 cup;0;4;330;184;2518;783
CHEESE FD,PAST PROCESS,SWISS 1 oz;0;5;323;2192;2414;45
CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4 1 cup, diced;0;4;290;1641;2123;873
CREAM,FLUID,HALF AND HALF 1 cup;0;4;130;296;115;43
CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM) 1 cup;0;4;195;27;1931;366
